Sr No,SchoolName,SchoolType,SchoolURL,States,Email,Numbers,SchoolSector
1,A B Paterson College,Pri/Sec,https://www.abpat.qld.edu.au/,QLD,abpat@abpat.qld.edu.au,,NG
2,A.G.B.U. Alexander Primary School,Prim,http://www.alexander.nsw.edu.au,NSW,office@alexander.nsw.edu.au,36 917 834 687,NG
3,Abbotsford Primary School,Prim,http://www.abbotsfordps.vic.edu.au,VIC,abbotsford.ps@education.vic.gov.au,"03 9428 5977, 0394285977",Gov
4,Abbotsford Public School,Prim,https://abbotsford-p.schools.nsw.gov.au,NSW,abbotsford-p.school@det.nsw.edu.au,02 9713 6220,Gov
5,Aberdeen Public School,Prim,https://aberdeen-p.schools.nsw.gov.au,NSW,aberdeen-p.school@det.nsw.edu.au,02 6543 7271,Gov
6,Aberfoyle Park High School,Sec,http://www.aphs.sa.edu.au,SA,dl.1673.info@schools.sa.edu.au,,Gov
7,Abermain Public School,Prim,https://abermain-p.schools.nsw.gov.au,NSW,abermain-p.school@det.nsw.edu.au,02 4930 4210,Gov
8,Acacia Hill School,Special,http://www.acaciahill.nt.edu.au/,NT,"acaciahill.school@ntschools.net, acaciahill.school@education.nt.gov.au","870 08 8955 2222, 08 8955 2222",Gov
9,Academy of Mary Immaculate,Sec,http://www.academy.vic.edu.au,VIC,enquiry@academy.vic.edu.au,"69 154 531 870, 03 9412 7100",NG
10,Adamstown Public School,Prim,https://adamstown-p.schools.nsw.gov.au,NSW,adamstown-p.school@det.nsw.edu.au,02 4957 1114,Gov
11,Adelaide Botanic High School,Sec,http://www.abhs.sa.edu.au,SA,dl.1919.info@schools.sa.edu.au,(08) 8214 7700,Gov
12,Adelaide East Education Centre,Special,http://www.adelaideeastec.sa.edu.au/,SA,dl.0997.info@schools.sa.edu.au,(08) 8337 6345,Gov
13,Adelaide High School,Sec,http://www.adelaidehs.sa.edu.au,SA,dl.0768.office@schools.sa.edu.au,,Gov
14,Adelaide International School,Sec,https://ais.edu.au/,SA,info@ais.edu.au,"61 (08) 8123 1786, 85 132 879 086, 45 626 876 453",NG
15,Adelaide North Special School,Special,https://anss.sa.edu.au/,SA,dl.0476.info@schools.sa.edu.au,(08) 8254 2625,Gov
16,Adelaide River School,Pri/Sec,https://www.teachintheterritory.nt.gov.au/schools/adelaide-river-school,NT,teach.det@education.nt.gov.au,1800 646 391,Gov
17,Adelong Public School,Prim,https://adelong-p.schools.nsw.gov.au,NSW,adelong-p.school@det.nsw.edu.au,02 6946 2053,Gov
18,Advance College of Education Incorporated,Special,http://www.advancecollege.vic.edu.au,VIC,aceinfo@advance.vic.edu.au,,NG
19,Aetaomah School,Pri/Sec,https://www.aetaomah.nsw.edu.au/,NSW,contact@aetaomah.nsw.edu.au,0266 797 255,NG
20,Ainslie Parklands Primary School,Prim,http://ainslieparklandsps.vic.edu.au/,VIC,ainslie.parklands.ps@education.vic.gov.au,(03) 9870 1566,Gov
21,Aintree Primary School,Prim,http://aintreeps.vic.edu.au,VIC,aintree.ps@education.vic.gov.au,(03) 9218 6200,Gov
22,Airds High School,Sec,https://airds-h.schools.nsw.gov.au,NSW,airds-h.school@det.nsw.edu.au,02 4625 5811,Gov
23,Aireys Inlet Primary School,Prim,http://aireysinletps.vic.edu.au/,VIC,Aireys.inlet.ps@education.vic.gov.au,"(03) 5289 7062, (03) 5289 7144",Gov
24,Airly Primary School,Prim,http://www.airlyps.vic.edu.au,VIC,airly.ps@education.vic.gov.au,03 5149 8251,Gov
25,Aitken College,Pri/Sec,http://www.aitkencollege.edu.au,VIC,admin@aitkencollege.edu.au,(03) 9333 9100,NG
26,Aitken Creek Primary School,Prim,http://www.aitkencreekps.vic.edu.au/,VIC,aitken.creek.ps@education.vic.gov.au,03 8338 3700,Gov
27,Aitken Hill Primary School,Prim,https://www.aitkenhillps.vic.edu.au/,VIC,aitken.hill.ps@education.vic.gov.au,383771000,Gov
28,Ajuga School,Special,https://ajuga-s.schools.nsw.gov.au,NSW,ajuga-s.school@det.nsw.edu.au,02 9827 6100,Gov
29,Al Amanah College,Pri/Sec,https://www.alamanah.nsw.edu.au/,NSW,admin@alamanah.nsw.edu.au,"(02) 9822 8022, (02) 9708 1220",NG
30,"Al Amanah College, Bankstown campus",Pri/Sec,http://www.alamanah.nsw.edu.au,NSW,admin@alamanah.nsw.edu.au,"(02) 9822 8022, (02) 9708 1220",NG
