Sr No,School Name,School Number,School Directer,Address,City,Province,Code postal,Phone Number,Fax Number,Region,School Email,Website
1,3sixty Education,882408,Sangeeta Kumar,141 Brunel Rd,Mississauga,Ontario,L4Z1X3,647-494-4340,647-494-4341,Région Centrale,sangeetakumar@3sixtyeducation.ca,www.3sixtyeducation.ca
2,A R S Armenian Private School,880655,Raffi Sarkissian,50 Hallcrown Place,Toronto,Ontario,M2J1P7,416-491-2675,416-491-8559,Région Centrale,office@arsdayschool.ca,www.arsarmenianschool.ca
3,A+ Academy of Advancement,885186,Bushra Shahrin,69 Lebovic Ave,Scarborough,Ontario,M1L0H2,416-857-1654,416-907-3300,Région de l’Est,info@aplusacademy.ca,www.aplusacademy.ca
4,ABC Montessori Private School,877417,Raj Vekaria,305 Matheson Boulevard East,Mississauga,Ontario,L4Z1X8,905-568-8989,905-568-0958,Région Centrale,contactus@abcmontessori.com,http://www.abcmontessori.com
5,ADRABA,885298,Dan Aviv,750 Spadina Ave,Toronto,Ontario,M5S2J2,437-777-2372,,Région de Toronto,info@adraba.ca,www.adraba.ca
6,AIM KW School,886708,Chantelle Aguilar,145 Lincoln Road,Waterloo,Ontario,N2J2N8,519-208-7300,519-208-7301,Région de l’Ouest,office@aimkwschool.com,www.aimkwschool.com
7,AIM Montessori Academy,668974,Keturah White,3515 King st.,Inglewood,Ontario,L7C0T6,905-716-7627,,Région Centrale,misswhiteataim@gmail.com,
8,AIM Montessori Academy Inc.,886226,Keturah White,3515 King St.,Inglewood,Ontario,L7C0T6,905-716-7627,,Région Centrale,misswhiteataim@gmail.com,
9,AIM Without Limits (AWL),669075,Suki Choi,121 Granton Dr.,Richmond Hill,Ontario,L4B3N4,905-604-8226,,Région Centrale,info@autisminmind.org,www.autisminmind.org
10,AIMS PLUS High School,886199,Renubala Sharma,284 Queen Street East,Brampton,Ontario,L6V1C2,905-497-2114,,Région Centrale,Info@aimsplus.ca,www.aimsplus.ca
11,AIS Elementary School (Aurora Internatio,668692,Dianna Jiang,250 Ferrier Street,Markham,Ontario,L3R2Z5,416-878-1396,,Région Centrale,diannaj@CanadaAIS.ca,
12,AIS School,669799,Dianna Jiang,3190 Steeles Avenue,Markham,Ontario,L3R1G9,905-868-9559,905-868-9559,Région Centrale,info@canadaais.ca,www.canadaais.ca
13,AL-Manarat Islamic School,666320,Junaid Ali,2550 Argentia Road,Mississauga,Ontario,L5N5R1,905-997-0260,,Région Centrale,info@almanaratheights.com,www.almanaratheights.com
14,ALDERWOOD ACADEMY,889552,Izabela Podgajna,999 LAKESHORE RD EAST,MISSISSAUGA,Ontario,L5E1E5,647-855-5999,,Région de l’Ouest,izabelapodgajna@gmail.com,
15,ALIF Canada,882622,Aejaz Patel,505 Ellesmere Road,Toronto,Ontario,M1R4E5,416-438-4141,416-439-6181,Région de l’Est,info@alifedu.ca,www.alifedu.ca
16,AM International Private Schools and Childcare,883234,Sehrish Memon,450 Huntington Ridge Dr,Mississauga,Ontario,L5R0A9,647-786-8809,,Région Centrale,sehrishm@amschoolcanada.org,www.amschoolcanada.org
17,ARC Studio School,888147,Megan Lelli,24 Sandridge Rd,Ottawa,Ontario,K1K0A8,,,Région de l’Est,info@arcstudioschool.ca,www.arcstudioschool.ca
18,ASIM'SCHOOL,881644,Sima Shahid,421 Nugget Avenue,Toronto,Ontario,M1S4L8,647-693-9313,,Région Centrale,info@asimschool.ca,www.asimschool.ca
19,ASK Online Canada,668910,Sheileen Krone,42 Birchard Boulevard,Mt. Albert,Ontario,L0G1M0,416-735-5547,,Région Centrale,sheileen2007@hotmail.com,www.askonlinecanada.ca
20,AVRO Academy,667321,Efrat Shapir,1640A Avenue Road,Toronto,Ontario,M5M3X9,647-352-6060,,Région de Toronto,learn@avroacademy.com,www.avroacademy.com
21,Abacus Montessori & Private School,669111,Jayanthi Rajagopalan,2723 ST. CLAIR EAST AVE.,EAST YORK,Ontario,M4B1M8,416-285-0110,416-494-4650,Région de Toronto,info@abacusmontessori.ca,www.abacusmontessori.ca
22,"Abelard Centre for Education, The",877808,Mark Young,557 Church Street,Toronto,Ontario,M4Y2E2,416-944-0661,416-944-8902,Région de Toronto,info@abelardschool.org,http://www.abelardschool.org/
23,Above and Beyond Learning Experience Inc,665161,Michelle White,7810 ON 89,Alliston,Ontario,L9R1V5,905-796-2253,844-320-4838,Région Centrale,able_info@ablearning.org,www.ablearning.org
24,Abraar,878987,Ahmed Alroz,1085 Grenon Ave,Ottawa,Ontario,K2B8L7,613-820-0044,613-820-1495,Région de l’Est,aalroz@abraarschool.com,http://www.abraarschool.com
25,Abraar School - Elementary,889470,Mohammed Saleem,70 Fieldrow Street,Ottawa,Ontario,K2G2Y7,613-226-1396,613-226-2745,Région de l’Est,eprincipal@abraarschool.com,www.abraarschool.com
26,Abu Huraira Center Academy,886295,Deqa Farah,270 Yorkland Boulevard,Toronto,Ontario,M2J5C9,647-509-2422,,Région Centrale,principal@abuhuraira.org,http://ahcacademy.com/
27,Acacia International High School,668358,Ana Mohamed,235 Dixon Road,Etobicoke,Ontario,M9P2M5,416-712-8864,,Région Centrale,anodsmohamed@gmail.com,www.acischool.ca
28,Academia Stella Maris,884149,Stephanie Montojo,45 des Benevoles Street,Limoges,Ontario,K0A2M0,343-883-6600,,Région de l’Est,info@academiastellamaris.ca,www.academiastellamaris.ca
29,Academy Of Rainbows,667046,Malaika Adams,32 Hasanville Lane,Barrys Bay,Ontario,K0J1B0,416-559-5044,,Région de l’Est,ambermiller1324@gmail.com,
30,"Academy for Gifted Children, The (PACE)",876330,Janice Gruchy,12 Bond Cres,Richmond Hill,Ontario,L4E3K2,905-773-0997,905-773-4722,Région Centrale,jgruchy@pace.ca,http://www.pace.ca
31,Academy of CISAF,883572,Steven Hua,2 Duncan Mill Rd,North York,Ontario,M3B1Z4,416-828-9078,,Région de Toronto,steven@eaglemountainhighschool.com,
32,Academy of Enlightened Minds,883776,Adrian Kremblewski,345 Sorauren Ave,Toronto,Ontario,M6R2G5,416-531-6463,,Région de Toronto,info@academyofenlightenedminds.com,
33,Academy of Excellence,883027,Giti Fatemi,,,,,,,Région Centrale,,
34,Academy of Math and English,668977,Jeff McNair,5101 Dundas Street West St,ETOBICOKE,Ontario,M9A5G8,416-242-9410,647-342-4034,Région Centrale,info@mathandenglish.com,www.mathandenglish.com
35,Academy of New Echo Education,668797,Di Chang,2716 Victoria Park Avenue,North York,Ontario,M2J4A7,647-346-3091,,Région de l’Est,info@aedcedu.com,www.newechoedu.com
36,Academy of Scholars Inc.,668083,Zannatul Hasib Moiet,1 Greystone Walk Dr.,Scarborough,Ontario,M1K5J3,647-997-6108,,Région de l’Est,masum3.mustafa@gmail.com,https://academyofsinc.ca/
37,Académie Providence Soeurs Antonines,666548,Félicité Daou,998 Frances rue,Ottawa,Ontario,K1K3L5,613-744-8489,613-744-6762,Région de l’Est,admin@academieprovidence.ca,www.academieprovidence.ca
38,Académie Ste Cécile International,876275,Samantha Morin,925 Cousineau Rd,Windsor,Ontario,N9G1V8,519-969-1291,519-969-7953,Région de l’Ouest,info@stececile.ca,http://www.academiestececile.ca
39,Académie de la Capitale,878731,Lucie Lalonde,3448 Richmond Road,Ottawa,Ontario,K2H8H7,613-721-3872,613-721-8189,Région de l’Est,info@acadecap.org,http://www.acadecap.org
40,Ace Acumen Heights,884091,Yifan Li,1440 Don Mills Road,Toronto,Ontario,M3B3M1,416-756-7227,,Région Centrale,francisco.guevara@canadaacumen.ca,www.aahs.ca
41,Ace Acumen Heights - Peel Campus,668878,John Jun Wu,21 Coventry Road,Brampton,Ontario,L6T4V7,416-756-7227,,Région Centrale,francisco.guevara@canadaacumen.ca,www.aahs.ca
42,Acheron College (Beaver Creek/Fenbrook),884408,Michael Gallagher,2000 Beaver Creek Drive,Gravenhurst,Ontario,P1P1W9,705-687-1736,705-687-1841,Région Centrale,richard.johnson@csc-scc.gc.ca,
43,Acheron College (Collins Bay),880977,Rod LeBlanc,1455 Bath Road,Kingston,Ontario,K7L4V9,613-536-6295,613-536-4023,Région de l’Est,Rod.leblanc@csc-scc.gc.ca,
44,Acheron College (Grand Valley),669520,Peter Stuart,1575 Homer Watson Blvd.,Kitchener,Ontario,N2P2C5,519-895-8277,519-895-8230,Région de l’Ouest,peter.stuart@csc-scc.gc.ca,
45,Acheron College (Joyceville/Pittsburgh),881692,Kevin MacInnis,3766 HWY 15 Joyceville,Kingston,Ontario,K0H1Y0,613-536-6598,613-536-6694,Région de l’Est,,
46,Acheron College (Millhaven/Bath),667407,Kevin MacInnis,5775 Bath Road,Bath,Ontario,K0H1G0,613-351-8175,613-351-8374,Région de l’Est,,
47,Acheron College (Warkworth),881407,Amanda Jane Oddie,15847 County Road 29,Warkworth,Ontario,K0K3K0,705-924-8069,705-924-8292,Région de l’Est,gen-ont-wi-school@csc-scc.gc.ca,
48,Across and Vertical Academy,665799,Gordon Ng,10 Rouge Valley Dr W,Markham,Ontario,L6G0G9,647-551-3654,,Région Centrale,gordon@acrossandvertical.com,
49,Acton Academy Lanark,884888,Ipshita Rafique,152 Church Street,Smiths Falls,Ontario,K7A4S7,613-255-3557,,Région de l’Est,ipshi@actonacademylanark.ca,www.actonacademylanark.ca
50,Acton Academy Mississauga,665734,Sabrina Anzini,295 Queen Street South,Streetsville,Ontario,L5M1L9,647-522-1064,,Région Centrale,Hello@actonacademymississauga.org,https://www.actonacademymississauga.org/
51,Acton Academy Sault Ste Marie,886411,Nigel Roedde,753 McNabb St,Sault Ste Marie,Ontario,P6B0A3,289-400-6496,,Région du Nord,info@actonsaultstemarie.com,www.actonsaultstemarie.com
52,Addae Cares Private Academy,884602,Shantel Gray,7 Queen Street West,Elmvale,Ontario,L0L1P0,647-533-5143,,Région Centrale,corporate@addaecares.com,www.addaecares.com
53,Adelfiha's Christian Academy,877514,Joanna Baxter,4340 Dufferin St,Toronto,Ontario,M3H5R9,416-633-5440,416-630-2547,Région Centrale,jannalyn.baxter@gmail.com,www.adelfiha.ca
54,Adults in Motion Private School,663832,Leeann Pine,48 Syrette Lake Rd,Garden River,Ontario,P6A5K9,705-946-3933,705-946-0410,Région du Nord,adultsinmotion@gardenriver.ca,
55,Advanced Christian Academy,877395,David Loganathan,1100 Bellamy Rd N,Toronto,Ontario,M1H1H2,416-439-7008,,Région de l’Est,threefishes7@gmail.com,www.threefishes.org
