Sr No,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),County Description,Email,Phone No.,Principal Name,Local Authority Description,Ethos Description,Female,Male,Total
1,ST. LOUIS GIRLS NATIONAL SCHOOL,Park Road,Monaghan,,Monaghan,principal@stlouisgns.com,04781305,Marietta Graham Reynolds (acting),Monaghan County Council,Catholic,202,,202
2,DERAVOY NATIONAL SCHOOL,Deravoy,Emyvale,Co. Monaghan,Monaghan,deravoyns@gmail.com,04787755,Sheenagh Currie,Monaghan County Council,Catholic,32,39,71
3,BALLINSPITTLE N S,Ballycatten,Ballinspittle,Co. Cork,Cork,secretary@ballinspittlens.ie,0214778239,Mrs. Sheila Wall,Cork County Council,Catholic,93,99,192
4,MIDLETON CONVENT N S,Midleton,Co. Cork,,Cork,scoilbhridemidleton@gmail.com,0214631593,Seamus O'Connor,Cork County Council,Catholic,242,49,291
5,CLOCHAR DAINGEAN,An Phríomhsráid Uachtarach,Daingean Uí Chúis,Co. Chiarraí,Kerry,bscd01@gmail.com,0669151154,Micheál Ó Muircheartaigh,Kerry County Council,Catholic,107,34,141
6,MONARD N S,Monard,Solohead,Co. Tipperary,Tipperary,info@monardns.com,06247557,Mary O'Dwyer,Tipperary (Sr) County Council,Catholic,61,51,112
7,BORRIS MXD N S,Lower Main Street,Borris,Co. Carlow,Carlow,pcoady@borrisns.com,0599773402,Pat Coady,Carlow County Council,Catholic,98,98,196
8,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,Dublin,principal@saintbrigids.ie,018214040,Nicola Fay,Fingal County Council,Catholic,389,445,834
9,LUCAN B N S,Chapel Hill,Lucan,Co. Dublin,Dublin,info@stmarysbnslucan.com,016281857,Dara Burke,South Dublin County Council,Catholic,,501,501
10,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,Dublin,info@loretograngeroad.ie,014931640,Ms Mairéad Byrne,South Dublin County Council,Catholic,440,5,445
11,CENTRAL SENIOR MXD N S,Marlborough Street,Dublin 1,,Dublin,info@centralmodelseniorschool.ie,018788103,Kathryn Russell,Dublin City Council,Catholic,110,117,227
12,PRESENTATION GIRLS PRIMARY SCHOOL,Main St,Maynooth,Co. Kildare,Kildare,info@presgirlsmaynooth.ie,016286034,Cora McGorry,Kildare County Council,Catholic,621,,621
13,LISDOWNEY N S,Lisdowney,Ballyragget,Co. Kilkenny,Kilkenny,principal@lisdowneyns.ie,0568833495,Thomas Percy,Kilkenny County Council,Catholic,46,50,96
14,SCOIL LACHTAIN,Freshford,Co. Kilkenny,,Kilkenny,stlachtainns@gmail.com,0568832400,Brendan Tynan,Kilkenny County Council,Catholic,91,110,201
15,PRESENTATION CONVENT,Ballymakenny Road,Drogheda,Co. Louth,Louth,presentationprimary@yahoo.com,0419837119,Nora Molloy,Louth County Council,Catholic,243,142,385
16,SCOIL NAOMH MICHEAL,St. Mel's Road,Longford,,Longford,stmichaelsbns@gmail.com,0433345536,Nora Horan,Longford County Council,Catholic,,224,224
17,FORGNEY N S,Cloncallow,Ballymahon,Co. Longford,Longford,forgneyschool@gmail.com,0906452659,Claire Tyther,Longford County Council,Catholic,10,13,23
18,AINE NAOFA N S,Fairgreen,Navan,Co. Meath,Meath,office@stannesnavan.ie,0469023039,Miriam McCabe,Meath County Council,Catholic,163,149,312
19,RATOATH JUNIOR N S,Fairyhouse Road,Ratoath,Co. Meath,Meath,office@ratoathjuniorns.ie,018256639,Meabh Madden,Meath County Council,Catholic,103,110,213
20,SHANGANAMORE N S,Shanganamore,Athy,Co. Laois,Laois,shanganamorens87@gmail.com,0598632315,Pauline Lawlor,Laois County Council,Catholic,58,48,106
21,BALLINAKILL MIXED N S,Ballinakill,Portlaoise,Co. Laois,Laois,ballinakillps@gmail.com,0578733393,Sinead Campion,Laois County Council,Catholic,42,56,98
22,PRESENTATION CONVENT (JNR),Harbour Street,Mullingar,Co. Westmeath,Westmeath,adminjnr@presentationmullingar.ie,0449342166,Natasha Miskell,Westmeath County Council,Catholic,130,147,277
23,S N BHRIDE,Emper,Ballynacargy,Co. Westmeath,Westmeath,info@emperns.com,0449373388,Fiona Brennan,Westmeath County Council,Catholic,5,3,8
24,GRANGE CON N S,Grange Con Primary School,Grange Con,Dunlavin,Wicklow,grangeconns1965@gmail.com,045403111,Ciara O'Hara,Wicklow County Council,Catholic,12,11,23
