School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
1,Te Kura o Te Kao,09-4097813,office@tekao.school.nz,Hemi Takawe,http://www.tekuraotekao.school.nz,6603 Far North Road,,Te Kao,6603 Far North Road RD 4,,Kaitaia,484,Rural other,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro
2,Taipa Area School,09-4060159,office@taipa.school.nz,Lisa White,http://www.taipa.school.nz,578 State Highway 10,,Taipa,578 State Highway 10,,Taipa,420,Rural settlement,Composite,,State,Co-Educational,,Te Tai Raro
3,Kaitaia College,09-4080190,admin@kaitaiacollege.school.nz,Louise Anaru-Tangira,http://www.kaitaiacollege.school.nz/,53 Redan Road,,Kaitaia,PO Box 265,,Kaitaia,441,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
4,Whangaroa College,09-4050199,office@whc.school.nz,Jack Anderson,http://www.whangaroacollege.school.nz,4157 State Highway 10,,Kaeo,PO Box 126,,Kaeo,448,Rural settlement,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
5,Kerikeri High School,09-4078916,enquiries@kerikerihigh.ac.nz,Mike Clent,http://www.kerikerihigh.ac.nz,48 Hone Heke Road,,Kerikeri,PO Box 92,,Kerikeri,245,Small urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
6,Broadwood Area School,09-4095878,admin@broadwood.school.nz,Danelle Tatana,http://broadwood.school.nz,1041 Broadwood Road,,Broadwood,PO Box 12,,Broadwood,462,Rural other,Composite,,State,Co-Educational,,Te Tai Raro
7,Okaihau College,09-4019030,admin@okaihau-college.school.nz,Thomas Davison,http://www.okaihau-college.school.nz,58 Settlers Way,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural settlement,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
8,Bay of Islands College,09-4041055,info@boic.school.nz,Edith Painting-Davis,http://www.boic.school.nz,1-9 Derrick Road,,Kawakawa,PO Box 58,,Kawakawa,243,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
9,Northland College,09-4013200,admin@northlandcollege.school.nz,Duane Allen,http://www.northlandcollege.school.nz,62 Mangakahia Road,,Kaikohe,PO Box 261,,Kaikohe,440,Small urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
10,Te Kura Taumata o Panguru,09-4095701,,Mina Pomare-Peita,http://www.panguru.school.nz,2178 West Coast Road,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural other,Composite,,State,Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro
11,Opononi Area School,09-4058500,anitaw@opononi.school.nz,Rosina Wikaira,,263 State Highway 12,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural settlement,Composite,,State,Co-Educational,,Te Tai Raro
12,Tauraroa Area School,09-4322643,general@tauraroa.school.nz,Grant Burns,http://www.tauraroa.school.nz,398 Tauraroa Road,,Maungakaramea,PO Box 36,,Maungakaramea,146,Rural other,Composite,,State,Co-Educational,,Te Tai Raro
13,Te Kamo High School,09-4351688,admin@kamohigh.school.nz,Natasha Hemara,http://www.kamohigh.school.nz/,1 Wilkinson Avenue,Kamo,Whangarei,PO Box 4137,Kamo,Whangarei,141,Large urban area,Secondary (Year 9-15),,State,Co-Educational,,Te Tai Raro
14,Tikipunga High School,09-4373299,sec@tikihigh.school.nz,Emma Leyland,https://tikipungahigh.school.nz/,194 Corks Road,Tikipunga,Whangarei,PO Box 7041,Tikipunga,Whangarei,144,Large urban area,Secondary (Year 7-15),,State,Co-Educational,,Te Tai Raro
15,Whangārei Boys' High School,09-4304170,enquiries@wbhs.school.nz,Alec Solomon,http://www.wbhs.school.nz,245 Western Hills Drive,Avenues,Whangarei,PO Box 5034,,Whangarei,140,Large urban area,Secondary (Year 9-15),,State,Boys School,,Te Tai Raro
16,Whangārei Girls' High School,09-4304460,office@wghs.school.nz,Sonya Lockyer,http://www.wghs.school.nz,1 Lupton Avenue,Regent,Whangarei,PO Box 5056,,Whangarei,140,Large urban area,Secondary (Year 9-15),,State,Girls School,,Te Tai Raro
17,Pompallier Catholic College,09-4383950,admin@pompallier.school.nz,Hayden Kingdon,http://www.pompallier.school.nz/,State Highway 14,Maunu,Whangarei,PO Box 10042,Te Mai,Whangarei,143,Large urban area,Secondary (Year 7-15),,State : Integrated,Co-Educational,,Te Tai Raro
18,Mangakahia Area School,09-4331702,admin@mangakahia.school.nz,Rachel Clothier-Simmonds,http://www.mangakahia.school.nz,1480 Mangakahia Road,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural other,Composite,,State,Co-Educational,,Te Tai Raro
